popularity,frequency
1,34
2,27
3,17
4,18
5,10
6,18
7,3
8,4
9,6
10,7
11,6
12,8
13,5
14,6
15,4
16,0
17,7
18,2
19,5
20,3
21,2
22,4
23,1
24,2
25,1
26,2
27,3
28,1
29,2
30,1
31,0
32,2
33,1
34,0
35,2
36,4
37,0
38,0
39,1
