popularity,frequency
1,83
2,34
3,17
4,14
5,6
6,4
7,4
8,9
9,5
10,1
11,1
12,3
13,5
14,
15,
16,1
17,1
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,1
28,2
29,1
30,1
31,
32,1
33,
34,
35,
36,
37,
38,
39,
40,1
