popularity,frequency
1,66
2,23
3,14
4,12
5,5
6,6
7,2
8,3
9,5
10,4
11,1
12,3
13,3
14,2
15,
16,1
17,2
18,1
19,1
20,
21,
22,
23,
24,
25,
26,
27,
28,1
29,
30,1
31,
32,
33,1
